Company_Brand,Sector,Stage,Funding_Year,Amount($),HeadQuarter,What_it_does,Year_Founded,Founders,Investor
XYXX Apparels,Fashion,Series A,2021,4000000.0,Surat,"XYXX Apparels,which runs an eponymous innerwear brand",2017,Yogesh Kabra,
WaterScience,D2C startup,Unknown,2021,0.0,Bangalore,The aim of making good water affordable and accessible.,2014,Sudeep N,
BrowserStack,SaaS startup,Series B,2021,200000000.0,Mumbai,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,2011,"Nakul Aggarwal, Ritesh Arora",Accel
Vital,Insuretech,Pre-series A,2021,3000000.0,New Delhi,"An affordable, digital health plan built around to cover both big and small expenses",2018,Rahul Kumar,BLinC Invest
Juicy chemistry,HealthCare,Unknown,2021,0.0,Coimbatore,Juicy Chemistry operates as an eponymous consumer brand.,2014,"Megha, Pritesh Asher",Spring Marketing Capital
Samaaro,SaaS startup,Unknown,2021,125000.0,Bangalore,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience",2020,"Mayank Banka, Purnank Prakash, Skandha Gopalan","Chaitanya Kalipatnapu, Kedar Gavane"
Imagimake,Innovation management,Pre-series A,2021,500000.0,Mumbai,An innovative play system to help children create their imagination,2011,"Disha Katharani, Ravi Kumar","Roha Investment Managers, angel investor Saumil Shah"
MSMEx,EdTech,Pre-series A,2021,1000000.0,Andheri,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,2019,"Amit Kumar, Vishal Kumar, Dilip Kumar, Khushboo Arora, Kumar Sambhav","TNF Ventures, Razorpay"
RenewBuy,Insuretech,Series C,2021,45000000.0,Gurugram,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,2015,"Balachander Sekhar, Sandeep Nanda","Lok Capital, IIFL Asset Management"
saarthi.ai,AI startup,Seed,2021,0.0,Bangalore,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,2017,"Piyush Dangaich, Sameer Sinha, Sangram Sabat, Vishwa Nath Jha",Nvidia Inception
